Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 68.0.3440.106,,2018-09-19 17:30:17,2018-09-19 17:30:23,6.383s,PASSED
,,,,,,
Test Cases/Login/LoginTestCase,Chrome 68.0.3440.106,,2018-09-19 17:30:17,2018-09-19 17:30:22,5.333s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 17:30:17,2018-09-19 17:30:21,4.113s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:30:21,2018-09-19 17:30:21,0.180s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:30:21,2018-09-19 17:30:22,0.105s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 17:30:22,2018-09-19 17:30:22,0.566s,PASSED
verifyTextPresent,Chrome 68.0.3440.106,,2018-09-19 17:30:22,2018-09-19 17:30:22,0.085s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-09-19 17:30:22,2018-09-19 17:30:22,0.043s,PASSED
,,,,,,
Test Cases/CloseBrowser,Chrome 68.0.3440.106,,2018-09-19 17:30:22,2018-09-19 17:30:23,0.761s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-19 17:30:22,2018-09-19 17:30:23,0.648s,PASSED
