Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SaveForm,Chrome 68.0.3440.106,,2018-09-19 17:32:02,2018-09-19 17:32:10,8.031s,PASSED
,,,,,,
Test Cases/Login/LoginTestCase,Chrome 68.0.3440.106,,2018-09-19 17:32:02,2018-09-19 17:32:07,5.135s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 17:32:02,2018-09-19 17:32:06,3.927s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:32:06,2018-09-19 17:32:06,0.167s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:32:06,2018-09-19 17:32:06,0.112s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 17:32:06,2018-09-19 17:32:07,0.581s,PASSED
verifyTextPresent,Chrome 68.0.3440.106,,2018-09-19 17:32:07,2018-09-19 17:32:07,0.091s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-09-19 17:32:07,2018-09-19 17:32:07,0.039s,PASSED
,,,,,,
Test Cases/MaximizeBrowser,Chrome 68.0.3440.106,,2018-09-19 17:32:07,2018-09-19 17:32:08,1.246s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-19 17:32:07,2018-09-19 17:32:08,1.139s,PASSED
,,,,,,
Test Cases/SaveFormTestCase,Chrome 68.0.3440.106,,2018-09-19 17:32:08,2018-09-19 17:32:10,1.353s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-19 17:32:08,2018-09-19 17:32:08,0.115s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:32:08,2018-09-19 17:32:09,0.091s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:32:09,2018-09-19 17:32:09,0.085s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:32:09,2018-09-19 17:32:09,0.103s,PASSED
check,Chrome 68.0.3440.106,,2018-09-19 17:32:09,2018-09-19 17:32:09,0.040s,PASSED
check,Chrome 68.0.3440.106,,2018-09-19 17:32:09,2018-09-19 17:32:09,0.071s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 17:32:09,2018-09-19 17:32:09,0.076s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-19 17:32:09,2018-09-19 17:32:10,0.655s,PASSED
